index	text	gold_answer	final_answer
0	On the issue of whether James is an smart individual, the fact that James came first in his class in law school.	No	No
1	On the issue of whether Robert negligently drove, the fact that Robert fell asleep while driving.	No	No
2	On the issue of whether John knew about the conspiracy, the fact that John likes sweatpants.	No	No
3	On the issue of whether Michael was guilty of murder, the fact that Michael left the crime scene immediately.	No	No
4	On the issue of whether William was loved by his community, the fact that he was selected to speak at his graduation.	No	No
5	On the issue of whether Mary robbed the bank, the fact that Mary went to the bank in disguise.	No	No
6	"On the issue of whether Patricia was a fan of Coldplay, the fact that she had a poster with the lyrics of ""Viva la Vida"" on her bedroom wall."	No	No
7	On the issue of whether Jennifer suffered reputational harm from Linda's article, the fact that Linda worked with several different editors to proof read and cross-check her article.	No	No
8	On the issue of whether Elizabeth was misdiagnosed by Barbara, the fact that Barbara didn't consult with her usual charts while assessing Elizabethg.	No	No
9	On the issue of whether Richard had ever visited Chicago, the fact that he gave a speech there in 2005.	No	No
10	On the issue of how long Joseph and Thomas had known each other, the fact that were neighbors during elementary school.	No	No
11	On the issue of whether Susan was familiar with Shakespeare, the fact that she had once played the role of Macbeth and recieved a standing ovation after her monologue.	No	No
12	On the issue of whether Jessica was aware she was trespassing, the fact that Jessica had been diagnosed as near-sighted by her ophthalmologist.	No	No
13	On the issue of whether Sarah was acting as an agent for the corporation, the fact that Sarah had worked there previously for four years.	No	No
14	On the issue of whether Charles was responsible for the defamatory article published online, the fact that Charles had visited the website responsible for the article multiple times in the past year.	No	No
15	On the issue of whether Karen negligently operated the forklift, the fact that Karen is a terrible driver who needed several tries to pass her commercial license test.	No	No
16	On the issue of whether the patent was infringed, the fact that the corporation's chief scientist was known to cheat at card games.	No	No
17	On the issue of whether Christopher acted with malice, the fact that Christopher was often moody and had a large temper.	No	No
18	On the issue of whether the parties had actually agreed to the contract, the fact that one of the parties had mistaken the identity of the other party.	No	No
19	On the issue of which car was responsible for a hit-and-run, the witness's statement in court that she believed it was the blue sedan.	No	No
20	On the issue of the faultiness of the designed house, the drawing the witness made on the stand during testimony.	No	No
21	On the issue of which of the defendants was responsible for driving the get-away car, the fact that the witness on the stand turned and pointed to the man in the blue suit.	No	No
22	On the issue of whether Ana lied to Jim, Jim's statement on cross-examination that he did not believe Ana to be an honest individual.	No	No
23	On the issue of whether Daniel drove negligently, the fact that Daniel testified during the trial that he told his wife he was tired before driving into a tree.	No	No
24	On the issue of whether Carl had knowledge of Amy's intentions, Carl told the questioning attorney on redirect examination that he knew Amy's intentions.	No	No
25	"On the issue of whether Nancy knew who attacked her, Nancy's statement in court, ""I was attacked by Sandra."""	No	No
26	During the trial, Mark nodded when asked if it was him who vandalized Emily's garage.	No	No
27	On the issue of which employee saw Emily last, the fact that James testified on the stand that he was on vacation that day and had last spoken to Emily the week before.	No	No
28	"On the issue of whether Will knew that the company intended to announce its drug trials had been cancelled, the fact that he told the jury that ""he didn't know the first thing about how medicines worked."""	No	No
29	On the issue of the defendant's guilt, Alex told the jury that he believed the defendant was guilty.	No	No
30	When showed floorplans of the museum during the trial, Andrew pointed out all the escape routes that he and his co-conspirators had planned to use. 	No	No
31	"When asked if he was remorseful by his attorney, Adam testified that ""he regretted his actions."""	No	No
32	On the issue of whether Donna was ill, the fact that Margaret testified during trial that she thought Donna was unwell.	No	No
33	On the issue of the sanity of Deborah, the fact that Deborah told her friend that she is completely sane.	Yes	Yes
